,state,Year,All Disasters Cost Range
0,AL,1980,1000-2000
1,AL,1981,250-500
2,AL,1982,5-100
3,AL,1983,500-1000
4,AL,1984,0-0
5,AL,1985,500-1000
6,AL,1986,250-500
7,AL,1987,0-0
8,AL,1988,1000-2000
9,AL,1989,5-100
10,AL,1990,0-0
11,AL,1991,100-250
12,AL,1992,5-100
13,AL,1993,500-1000
14,AL,1994,1000-2000
15,AL,1995,1000-2000
16,AL,1996,0-0
17,AL,1997,0-0
18,AL,1998,1000-2000
19,AL,1999,250-500
20,AL,2000,500-1000
21,AL,2001,0-0
22,AL,2002,1000-2000
23,AL,2003,100-250
24,AL,2004,5000-10000
25,AL,2005,5000-10000
26,AL,2006,500-1000
27,AL,2007,250-500
28,AL,2008,250-500
29,AL,2009,500-1000
30,AL,2010,0-0
31,AL,2011,5000-10000
32,AL,2012,250-500
33,AL,2013,250-500
34,AL,2014,500-1000
35,AL,2015,5-100
36,AL,2016,100-250
37,AL,2017,1000-2000
38,AL,2018,2000-5000
39,AL,2019,100-250
40,AL,2020,5000-10000
41,AL,2021,500-1000
42,AL,2022,250-500
43,AL,2023,250-500
0,AK,1980,0-0
1,AK,1981,0-0
2,AK,1982,0-0
3,AK,1983,0-0
4,AK,1984,0-0
5,AK,1985,0-0
6,AK,1986,0-0
7,AK,1987,0-0
8,AK,1988,0-0
9,AK,1989,0-0
10,AK,1990,0-0
11,AK,1991,0-0
12,AK,1992,0-0
13,AK,1993,0-0
14,AK,1994,0-0
15,AK,1995,0-0
16,AK,1996,0-0
17,AK,1997,0-0
18,AK,1998,0-0
19,AK,1999,0-0
20,AK,2000,0-0
21,AK,2001,0-0
22,AK,2002,250-500
23,AK,2003,100-250
24,AK,2004,0-0
25,AK,2005,0-0
26,AK,2006,5-100
27,AK,2007,100-250
28,AK,2008,0-0
29,AK,2009,500-1000
30,AK,2010,0-0
31,AK,2011,0-0
32,AK,2012,0-0
33,AK,2013,0-0
34,AK,2014,0-0
35,AK,2015,250-500
36,AK,2016,0-0
37,AK,2017,0-0
38,AK,2018,0-0
39,AK,2019,250-500
40,AK,2020,0-0
41,AK,2021,0-0
42,AK,2022,5-100
43,AK,2023,0-0
0,AZ,1980,0-0
1,AZ,1981,0-0
2,AZ,1982,0-0
3,AZ,1983,1000-2000
4,AZ,1984,0-0
5,AZ,1985,0-0
6,AZ,1986,0-0
7,AZ,1987,0-0
8,AZ,1988,0-0
9,AZ,1989,0-0
10,AZ,1990,0-0
11,AZ,1991,0-0
12,AZ,1992,0-0
13,AZ,1993,0-0
14,AZ,1994,100-250
15,AZ,1995,0-0
16,AZ,1996,0-0
17,AZ,1997,0-0
18,AZ,1998,0-0
19,AZ,1999,0-0
20,AZ,2000,100-250
21,AZ,2001,0-0
22,AZ,2002,250-500
23,AZ,2003,250-500
24,AZ,2004,0-0
25,AZ,2005,0-0
26,AZ,2006,100-250
27,AZ,2007,100-250
28,AZ,2008,5-100
29,AZ,2009,5-100
30,AZ,2010,5000-10000
31,AZ,2011,100-250
32,AZ,2012,5-100
33,AZ,2013,5-100
34,AZ,2014,5-100
35,AZ,2015,5-100
36,AZ,2016,5-100
37,AZ,2017,5-100
38,AZ,2018,5-100
39,AZ,2019,0-0
40,AZ,2020,100-250
41,AZ,2021,250-500
42,AZ,2022,100-250
43,AZ,2023,0-0
0,AR,1980,500-1000
1,AR,1981,0-0
2,AR,1982,100-250
3,AR,1983,2000-5000
4,AR,1984,5-100
5,AR,1985,5-100
6,AR,1986,500-1000
7,AR,1987,0-0
8,AR,1988,1000-2000
9,AR,1989,5-100
10,AR,1990,250-500
11,AR,1991,0-0
12,AR,1992,5-100
13,AR,1993,0-0
14,AR,1994,250-500
15,AR,1995,5-100
16,AR,1996,5-100
17,AR,1997,100-250
18,AR,1998,250-500
19,AR,1999,250-500
20,AR,2000,250-500
21,AR,2001,5-100
22,AR,2002,5-100
23,AR,2003,100-250
24,AR,2004,0-0
25,AR,2005,100-250
26,AR,2006,250-500
27,AR,2007,250-500
28,AR,2008,1000-2000
29,AR,2009,250-500
30,AR,2010,5-100
31,AR,2011,2000-5000
32,AR,2012,100-250
33,AR,2013,0-0
34,AR,2014,250-500
35,AR,2015,250-500
36,AR,2016,500-1000
37,AR,2017,500-1000
38,AR,2018,100-250
39,AR,2019,1000-2000
40,AR,2020,1000-2000
41,AR,2021,500-1000
42,AR,2022,1000-2000
43,AR,2023,500-1000
0,CA,1980,0-0
1,CA,1981,0-0
2,CA,1982,0-0
3,CA,1983,2000-5000
4,CA,1984,0-0
5,CA,1985,0-0
6,CA,1986,1000-2000
7,CA,1987,0-0
8,CA,1988,0-0
9,CA,1989,0-0
10,CA,1990,5000-10000
11,CA,1991,5000-10000
12,CA,1992,0-0
13,CA,1993,2000-5000
14,CA,1994,250-500
15,CA,1995,5000-10000
16,CA,1996,0-0
17,CA,1997,2000-5000
18,CA,1998,5000-10000
19,CA,1999,0-0
20,CA,2000,250-500
21,CA,2001,0-0
22,CA,2002,250-500
23,CA,2003,5000-10000
24,CA,2004,0-0
25,CA,2005,0-0
26,CA,2006,100-250
27,CA,2007,2000-5000
28,CA,2008,1000-2000
29,CA,2009,500-1000
30,CA,2010,0-0
31,CA,2011,0-0
32,CA,2012,250-500
33,CA,2013,250-500
34,CA,2014,1000-2000
35,CA,2015,5000-10000
36,CA,2016,2000-5000
37,CA,2017,20000-50000
38,CA,2018,20000-50000
39,CA,2019,2000-5000
40,CA,2020,10000-20000
41,CA,2021,5000-10000
42,CA,2022,2000-5000
43,CA,2023,2000-5000
0,CO,1980,0-0
1,CO,1981,0-0
2,CO,1982,100-250
3,CO,1983,100-250
4,CO,1984,1000-2000
5,CO,1985,0-0
6,CO,1986,100-250
7,CO,1987,0-0
8,CO,1988,0-0
9,CO,1989,250-500
10,CO,1990,2000-5000
11,CO,1991,0-0
12,CO,1992,0-0
13,CO,1993,0-0
14,CO,1994,250-500
15,CO,1995,0-0
16,CO,1996,250-500
17,CO,1997,0-0
18,CO,1998,0-0
19,CO,1999,0-0
20,CO,2000,500-1000
21,CO,2001,5-100
22,CO,2002,500-1000
23,CO,2003,250-500
24,CO,2004,1000-2000
25,CO,2005,0-0
26,CO,2006,250-500
27,CO,2007,0-0
28,CO,2008,500-1000
29,CO,2009,1000-2000
30,CO,2010,500-1000
31,CO,2011,1000-2000
32,CO,2012,2000-5000
33,CO,2013,2000-5000
34,CO,2014,2000-5000
35,CO,2015,500-1000
36,CO,2016,1000-2000
37,CO,2017,2000-5000
38,CO,2018,5000-10000
39,CO,2019,1000-2000
40,CO,2020,1000-2000
41,CO,2021,2000-5000
42,CO,2022,1000-2000
43,CO,2023,0-0
0,CT,1980,0-0
1,CT,1981,0-0
2,CT,1982,5-100
3,CT,1983,5-100
4,CT,1984,5-100
5,CT,1985,250-500
6,CT,1986,0-0
7,CT,1987,0-0
8,CT,1988,0-0
9,CT,1989,5-100
10,CT,1990,0-0
11,CT,1991,100-250
12,CT,1992,250-500
13,CT,1993,250-500
14,CT,1994,100-250
15,CT,1995,0-0
16,CT,1996,500-1000
17,CT,1997,5-100
18,CT,1998,5-100
19,CT,1999,100-250
20,CT,2000,0-0
21,CT,2001,0-0
22,CT,2002,0-0
23,CT,2003,0-0
24,CT,2004,0-0
25,CT,2005,0-0
26,CT,2006,0-0
27,CT,2007,100-250
28,CT,2008,5-100
29,CT,2009,0-0
30,CT,2010,250-500
31,CT,2011,1000-2000
32,CT,2012,2000-5000
33,CT,2013,0-0
34,CT,2014,0-0
35,CT,2015,100-250
36,CT,2016,5-100
37,CT,2017,0-0
38,CT,2018,250-500
39,CT,2019,5-100
40,CT,2020,500-1000
41,CT,2021,1000-2000
42,CT,2022,100-250
43,CT,2023,100-250
0,DE,1980,0-0
1,DE,1981,0-0
2,DE,1982,5-100
3,DE,1983,5-100
4,DE,1984,0-0
5,DE,1985,100-250
6,DE,1986,0-0
7,DE,1987,0-0
8,DE,1988,0-0
9,DE,1989,0-0
10,DE,1990,0-0
11,DE,1991,0-0
12,DE,1992,5-100
13,DE,1993,250-500
14,DE,1994,100-250
15,DE,1995,5-100
16,DE,1996,100-250
17,DE,1997,0-0
18,DE,1998,0-0
19,DE,1999,100-250
20,DE,2000,0-0
21,DE,2001,0-0
22,DE,2002,100-250
23,DE,2003,100-250
24,DE,2004,100-250
25,DE,2005,0-0
26,DE,2006,5-100
27,DE,2007,100-250
28,DE,2008,0-0
29,DE,2009,0-0
30,DE,2010,5-100
31,DE,2011,250-500
32,DE,2012,250-500
33,DE,2013,0-0
34,DE,2014,100-250
35,DE,2015,5-100
36,DE,2016,0-0
37,DE,2017,0-0
38,DE,2018,5-100
39,DE,2019,0-0
40,DE,2020,100-250
41,DE,2021,5-100
42,DE,2022,5-100
43,DE,2023,0-0
0,FL,1980,0-0
1,FL,1981,1000-2000
2,FL,1982,5-100
3,FL,1983,2000-5000
4,FL,1984,5-100
5,FL,1985,5000-10000
6,FL,1986,0-0
7,FL,1987,0-0
8,FL,1988,0-0
9,FL,1989,5000-10000
10,FL,1990,0-0
11,FL,1991,0-0
12,FL,1992,50000-100000
13,FL,1993,2000-5000
14,FL,1994,100-250
15,FL,1995,5000-10000
16,FL,1996,0-0
17,FL,1997,0-0
18,FL,1998,2000-5000
19,FL,1999,250-500
20,FL,2000,1000-2000
21,FL,2001,5-100
22,FL,2002,100-250
23,FL,2003,5-100
24,FL,2004,50000-100000
25,FL,2005,20000-50000
26,FL,2006,250-500
27,FL,2007,250-500
28,FL,2008,5-100
29,FL,2009,0-0
30,FL,2010,0-0
31,FL,2011,5-100
32,FL,2012,100-250
33,FL,2013,0-0
34,FL,2014,250-500
35,FL,2015,100-250
36,FL,2016,2000-5000
37,FL,2017,20000-50000
38,FL,2018,20000-50000
39,FL,2019,250-500
40,FL,2020,5000-10000
41,FL,2021,500-1000
42,FL,2022,100000-200000
43,FL,2023,5-100
0,GA,1980,1000-2000
1,GA,1981,0-0
2,GA,1982,5-100
3,GA,1983,500-1000
4,GA,1984,5-100
5,GA,1985,100-250
6,GA,1986,500-1000
7,GA,1987,0-0
8,GA,1988,0-0
9,GA,1989,5-100
10,GA,1990,0-0
11,GA,1991,100-250
12,GA,1992,100-250
13,GA,1993,1000-2000
14,GA,1994,1000-2000
15,GA,1995,1000-2000
16,GA,1996,0-0
17,GA,1997,100-250
18,GA,1998,500-1000
19,GA,1999,500-1000
20,GA,2000,500-1000
21,GA,2001,0-0
22,GA,2002,500-1000
23,GA,2003,100-250
24,GA,2004,2000-5000
25,GA,2005,250-500
26,GA,2006,500-1000
27,GA,2007,1000-2000
28,GA,2008,1000-2000
29,GA,2009,2000-5000
30,GA,2010,100-250
31,GA,2011,2000-5000
32,GA,2012,100-250
33,GA,2013,500-1000
34,GA,2014,250-500
35,GA,2015,250-500
36,GA,2016,1000-2000
37,GA,2017,2000-5000
38,GA,2018,5000-10000
39,GA,2019,100-250
40,GA,2020,2000-5000
41,GA,2021,500-1000
42,GA,2022,1000-2000
43,GA,2023,500-1000
0,HI,1980,0-0
1,HI,1981,0-0
2,HI,1982,0-0
3,HI,1983,0-0
4,HI,1984,0-0
5,HI,1985,0-0
6,HI,1986,0-0
7,HI,1987,0-0
8,HI,1988,0-0
9,HI,1989,0-0
10,HI,1990,0-0
11,HI,1991,0-0
12,HI,1992,5000-10000
13,HI,1993,0-0
14,HI,1994,0-0
15,HI,1995,0-0
16,HI,1996,0-0
17,HI,1997,0-0
18,HI,1998,0-0
19,HI,1999,0-0
20,HI,2000,0-0
21,HI,2001,0-0
22,HI,2002,0-0
23,HI,2003,0-0
24,HI,2004,0-0
25,HI,2005,0-0
26,HI,2006,0-0
27,HI,2007,0-0
28,HI,2008,0-0
29,HI,2009,0-0
30,HI,2010,0-0
31,HI,2011,0-0
32,HI,2012,0-0
33,HI,2013,0-0
34,HI,2014,0-0
35,HI,2015,0-0
36,HI,2016,0-0
37,HI,2017,0-0
38,HI,2018,0-0
39,HI,2019,0-0
40,HI,2020,0-0
41,HI,2021,0-0
42,HI,2022,0-0
43,HI,2023,0-0
0,ID,1980,0-0
1,ID,1981,0-0
2,ID,1982,0-0
3,ID,1983,5-100
4,ID,1984,0-0
5,ID,1985,0-0
6,ID,1986,0-0
7,ID,1987,0-0
8,ID,1988,1000-2000
9,ID,1989,0-0
10,ID,1990,100-250
11,ID,1991,0-0
12,ID,1992,0-0
13,ID,1993,0-0
14,ID,1994,0-0
15,ID,1995,0-0
16,ID,1996,250-500
17,ID,1997,250-500
18,ID,1998,0-0
19,ID,1999,0-0
20,ID,2000,250-500
21,ID,2001,0-0
22,ID,2002,100-250
23,ID,2003,250-500
24,ID,2004,0-0
25,ID,2005,0-0
26,ID,2006,100-250
27,ID,2007,250-500
28,ID,2008,250-500
29,ID,2009,100-250
30,ID,2010,0-0
31,ID,2011,5-100
32,ID,2012,250-500
33,ID,2013,100-250
34,ID,2014,100-250
35,ID,2015,250-500
36,ID,2016,100-250
37,ID,2017,100-250
38,ID,2018,100-250
39,ID,2019,0-0
40,ID,2020,100-250
41,ID,2021,500-1000
42,ID,2022,250-500
43,ID,2023,0-0
0,IL,1980,1000-2000
1,IL,1981,0-0
2,IL,1982,500-1000
3,IL,1983,100-250
4,IL,1984,5-100
5,IL,1985,5-100
6,IL,1986,0-0
7,IL,1987,0-0
8,IL,1988,2000-5000
9,IL,1989,1000-2000
10,IL,1990,0-0
11,IL,1991,2000-5000
12,IL,1992,0-0
13,IL,1993,5000-10000
14,IL,1994,100-250
15,IL,1995,250-500
16,IL,1996,0-0
17,IL,1997,0-0
18,IL,1998,100-250
19,IL,1999,100-250
20,IL,2000,0-0
21,IL,2001,100-250
22,IL,2002,500-1000
23,IL,2003,1000-2000
24,IL,2004,5-100
25,IL,2005,500-1000
26,IL,2006,500-1000
27,IL,2007,100-250
28,IL,2008,1000-2000
29,IL,2009,500-1000
30,IL,2010,500-1000
31,IL,2011,2000-5000
32,IL,2012,5000-10000
33,IL,2013,2000-5000
34,IL,2014,1000-2000
35,IL,2015,500-1000
36,IL,2016,250-500
37,IL,2017,1000-2000
38,IL,2018,500-1000
39,IL,2019,2000-5000
40,IL,2020,2000-5000
41,IL,2021,1000-2000
42,IL,2022,1000-2000
43,IL,2023,1000-2000
0,IN,1980,0-0
1,IN,1981,0-0
2,IN,1982,250-500
3,IN,1983,100-250
4,IN,1984,0-0
5,IN,1985,5-100
6,IN,1986,0-0
7,IN,1987,0-0
8,IN,1988,2000-5000
9,IN,1989,5-100
10,IN,1990,0-0
11,IN,1991,1000-2000
12,IN,1992,5-100
13,IN,1993,1000-2000
14,IN,1994,100-250
15,IN,1995,100-250
16,IN,1996,0-0
17,IN,1997,0-0
18,IN,1998,100-250
19,IN,1999,100-250
20,IN,2000,0-0
21,IN,2001,100-250
22,IN,2002,500-1000
23,IN,2003,250-500
24,IN,2004,5-100
25,IN,2005,0-0
26,IN,2006,2000-5000
27,IN,2007,250-500
28,IN,2008,2000-5000
29,IN,2009,0-0
30,IN,2010,5-100
31,IN,2011,1000-2000
32,IN,2012,2000-5000
33,IN,2013,1000-2000
34,IN,2014,500-1000
35,IN,2015,100-250
36,IN,2016,250-500
37,IN,2017,250-500
38,IN,2018,100-250
39,IN,2019,1000-2000
40,IN,2020,500-1000
41,IN,2021,1000-2000
42,IN,2022,500-1000
43,IN,2023,500-1000
0,IA,1980,1000-2000
1,IA,1981,0-0
2,IA,1982,100-250
3,IA,1983,5-100
4,IA,1984,0-0
5,IA,1985,5-100
6,IA,1986,0-0
7,IA,1987,0-0
8,IA,1988,2000-5000
9,IA,1989,500-1000
10,IA,1990,0-0
11,IA,1991,500-1000
12,IA,1992,0-0
13,IA,1993,10000-20000
14,IA,1994,5-100
15,IA,1995,0-0
16,IA,1996,0-0
17,IA,1997,0-0
18,IA,1998,250-500
19,IA,1999,0-0
20,IA,2000,250-500
21,IA,2001,100-250
22,IA,2002,0-0
23,IA,2003,1000-2000
24,IA,2004,5-100
25,IA,2005,5-100
26,IA,2006,250-500
27,IA,2007,5-100
28,IA,2008,5000-10000
29,IA,2009,5-100
30,IA,2010,5-100
31,IA,2011,2000-5000
32,IA,2012,2000-5000
33,IA,2013,1000-2000
34,IA,2014,500-1000
35,IA,2015,100-250
36,IA,2016,0-0
37,IA,2017,500-1000
38,IA,2018,500-1000
39,IA,2019,2000-5000
40,IA,2020,10000-20000
41,IA,2021,1000-2000
42,IA,2022,500-1000
43,IA,2023,500-1000
0,KS,1980,1000-2000
1,KS,1981,5-100
2,KS,1982,250-500
3,KS,1983,5-100
4,KS,1984,0-0
5,KS,1985,0-0
6,KS,1986,0-0
7,KS,1987,0-0
8,KS,1988,1000-2000
9,KS,1989,1000-2000
10,KS,1990,0-0
11,KS,1991,500-1000
12,KS,1992,1000-2000
13,KS,1993,1000-2000
14,KS,1994,5-100
15,KS,1995,0-0
16,KS,1996,500-1000
17,KS,1997,0-0
18,KS,1998,5-100
19,KS,1999,100-250
20,KS,2000,500-1000
21,KS,2001,100-250
22,KS,2002,1000-2000
23,KS,2003,1000-2000
24,KS,2004,0-0
25,KS,2005,0-0
26,KS,2006,1000-2000
27,KS,2007,5-100
28,KS,2008,1000-2000
29,KS,2009,250-500
30,KS,2010,100-250
31,KS,2011,2000-5000
32,KS,2012,2000-5000
33,KS,2013,2000-5000
34,KS,2014,1000-2000
35,KS,2015,100-250
36,KS,2016,250-500
37,KS,2017,250-500
38,KS,2018,250-500
39,KS,2019,1000-2000
40,KS,2020,1000-2000
41,KS,2021,500-1000
42,KS,2022,2000-5000
43,KS,2023,5-100
0,KY,1980,1000-2000
1,KY,1981,0-0
2,KY,1982,100-250
3,KY,1983,1000-2000
4,KY,1984,0-0
5,KY,1985,5-100
6,KY,1986,0-0
7,KY,1987,0-0
8,KY,1988,1000-2000
9,KY,1989,5-100
10,KY,1990,0-0
11,KY,1991,5-100
12,KY,1992,5-100
13,KY,1993,250-500
14,KY,1994,250-500
15,KY,1995,0-0
16,KY,1996,5-100
17,KY,1997,250-500
18,KY,1998,5-100
19,KY,1999,500-1000
20,KY,2000,0-0
21,KY,2001,5-100
22,KY,2002,2000-5000
23,KY,2003,250-500
24,KY,2004,100-250
25,KY,2005,5-100
26,KY,2006,250-500
27,KY,2007,500-1000
28,KY,2008,1000-2000
29,KY,2009,500-1000
30,KY,2010,100-250
31,KY,2011,500-1000
32,KY,2012,2000-5000
33,KY,2013,5-100
34,KY,2014,100-250
35,KY,2015,250-500
