,state,Year,All Disasters Cost Range
38,ND,2018,0-0
39,ND,2019,500-1000
40,ND,2020,250-500
41,ND,2021,2000-5000
42,ND,2022,100-250
43,ND,2023,0-0
0,OH,1980,0-0
1,OH,1981,0-0
2,OH,1982,100-250
3,OH,1983,100-250
4,OH,1984,0-0
5,OH,1985,500-1000
6,OH,1986,0-0
7,OH,1987,0-0
8,OH,1988,1000-2000
9,OH,1989,5-100
10,OH,1990,0-0
11,OH,1991,500-1000
12,OH,1992,5-100
13,OH,1993,250-500
14,OH,1994,100-250
15,OH,1995,5-100
16,OH,1996,100-250
17,OH,1997,250-500
18,OH,1998,500-1000
19,OH,1999,500-1000
20,OH,2000,0-0
21,OH,2001,500-1000
22,OH,2002,1000-2000
23,OH,2003,250-500
24,OH,2004,250-500
25,OH,2005,100-250
26,OH,2006,500-1000
27,OH,2007,250-500
28,OH,2008,2000-5000
29,OH,2009,500-1000
30,OH,2010,0-0
31,OH,2011,2000-5000
32,OH,2012,2000-5000
33,OH,2013,5-100
34,OH,2014,500-1000
35,OH,2015,100-250
36,OH,2016,5-100
37,OH,2017,250-500
38,OH,2018,5-100
39,OH,2019,2000-5000
40,OH,2020,500-1000
41,OH,2021,500-1000
42,OH,2022,1000-2000
43,OH,2023,1000-2000
0,OK,1980,1000-2000
1,OK,1981,5-100
2,OK,1982,100-250
3,OK,1983,5-100
4,OK,1984,0-0
5,OK,1985,5-100
6,OK,1986,0-0
7,OK,1987,0-0
8,OK,1988,1000-2000
9,OK,1989,5-100
10,OK,1990,250-500
11,OK,1991,250-500
12,OK,1992,250-500
13,OK,1993,0-0
14,OK,1994,100-250
15,OK,1995,100-250
16,OK,1996,500-1000
17,OK,1997,0-0
18,OK,1998,250-500
19,OK,1999,2000-5000
20,OK,2000,250-500
21,OK,2001,5-100
22,OK,2002,250-500
23,OK,2003,2000-5000
24,OK,2004,5-100
25,OK,2005,0-0
26,OK,2006,500-1000
27,OK,2007,500-1000
28,OK,2008,500-1000
29,OK,2009,1000-2000
30,OK,2010,2000-5000
31,OK,2011,2000-5000
32,OK,2012,2000-5000
33,OK,2013,2000-5000
34,OK,2014,500-1000
35,OK,2015,500-1000
36,OK,2016,250-500
37,OK,2017,500-1000
38,OK,2018,250-500
39,OK,2019,2000-5000
40,OK,2020,1000-2000
41,OK,2021,1000-2000
42,OK,2022,1000-2000
43,OK,2023,100-250
0,OR,1980,0-0
1,OR,1981,0-0
2,OR,1982,0-0
3,OR,1983,100-250
4,OR,1984,0-0
5,OR,1985,0-0
6,OR,1986,5-100
7,OR,1987,0-0
8,OR,1988,0-0
9,OR,1989,0-0
10,OR,1990,100-250
11,OR,1991,100-250
12,OR,1992,0-0
13,OR,1993,0-0
14,OR,1994,100-250
15,OR,1995,0-0
16,OR,1996,1000-2000
17,OR,1997,250-500
18,OR,1998,0-0
19,OR,1999,0-0
20,OR,2000,250-500
21,OR,2001,0-0
22,OR,2002,500-1000
23,OR,2003,250-500
24,OR,2004,0-0
25,OR,2005,100-250
26,OR,2006,100-250
27,OR,2007,250-500
28,OR,2008,250-500
29,OR,2009,250-500
30,OR,2010,0-0
31,OR,2011,5-100
32,OR,2012,100-250
33,OR,2013,250-500
34,OR,2014,250-500
35,OR,2015,250-500
36,OR,2016,5-100
37,OR,2017,500-1000
38,OR,2018,250-500
39,OR,2019,0-0
40,OR,2020,2000-5000
41,OR,2021,1000-2000
42,OR,2022,500-1000
43,OR,2023,0-0
0,PA,1980,0-0
1,PA,1981,0-0
2,PA,1982,100-250
3,PA,1983,100-250
4,PA,1984,5-100
5,PA,1985,1000-2000
6,PA,1986,0-0
7,PA,1987,0-0
8,PA,1988,0-0
9,PA,1989,5-100
10,PA,1990,0-0
11,PA,1991,100-250
12,PA,1992,100-250
13,PA,1993,250-500
14,PA,1994,250-500
15,PA,1995,5-100
16,PA,1996,500-1000
17,PA,1997,5-100
18,PA,1998,250-500
19,PA,1999,1000-2000
20,PA,2000,0-0
21,PA,2001,500-1000
22,PA,2002,500-1000
23,PA,2003,250-500
24,PA,2004,2000-5000
25,PA,2005,0-0
26,PA,2006,500-1000
27,PA,2007,100-250
28,PA,2008,500-1000
29,PA,2009,250-500
30,PA,2010,500-1000
31,PA,2011,2000-5000
32,PA,2012,1000-2000
33,PA,2013,0-0
34,PA,2014,1000-2000
35,PA,2015,250-500
36,PA,2016,5-100
37,PA,2017,5-100
38,PA,2018,500-1000
39,PA,2019,1000-2000
40,PA,2020,1000-2000
41,PA,2021,2000-5000
42,PA,2022,500-1000
43,PA,2023,500-1000
0,RI,1980,0-0
1,RI,1981,0-0
2,RI,1982,5-100
3,RI,1983,5-100
4,RI,1984,5-100
5,RI,1985,100-250
6,RI,1986,0-0
7,RI,1987,0-0
8,RI,1988,0-0
9,RI,1989,0-0
10,RI,1990,0-0
11,RI,1991,500-1000
12,RI,1992,5-100
13,RI,1993,100-250
14,RI,1994,100-250
15,RI,1995,0-0
16,RI,1996,5-100
17,RI,1997,5-100
18,RI,1998,5-100
19,RI,1999,100-250
20,RI,2000,0-0
21,RI,2001,0-0
22,RI,2002,0-0
23,RI,2003,0-0
24,RI,2004,0-0
25,RI,2005,0-0
26,RI,2006,0-0
27,RI,2007,5-100
28,RI,2008,0-0
29,RI,2009,0-0
30,RI,2010,100-250
31,RI,2011,250-500
32,RI,2012,250-500
33,RI,2013,0-0
34,RI,2014,0-0
35,RI,2015,100-250
36,RI,2016,5-100
37,RI,2017,0-0
38,RI,2018,100-250
39,RI,2019,0-0
40,RI,2020,5-100
41,RI,2021,5-100
42,RI,2022,5-100
43,RI,2023,100-250
0,SC,1980,1000-2000
1,SC,1981,0-0
2,SC,1982,5-100
3,SC,1983,250-500
4,SC,1984,250-500
5,SC,1985,5-100
6,SC,1986,250-500
7,SC,1987,0-0
8,SC,1988,0-0
9,SC,1989,10000-20000
10,SC,1990,0-0
11,SC,1991,5-100
12,SC,1992,0-0
13,SC,1993,500-1000
14,SC,1994,100-250
15,SC,1995,5-100
16,SC,1996,100-250
17,SC,1997,0-0
18,SC,1998,500-1000
19,SC,1999,500-1000
20,SC,2000,250-500
21,SC,2001,0-0
22,SC,2002,250-500
23,SC,2003,5-100
24,SC,2004,1000-2000
25,SC,2005,0-0
26,SC,2006,0-0
27,SC,2007,250-500
28,SC,2008,250-500
29,SC,2009,100-250
30,SC,2010,100-250
31,SC,2011,1000-2000
32,SC,2012,100-250
33,SC,2013,0-0
34,SC,2014,500-1000
35,SC,2015,2000-5000
36,SC,2016,2000-5000
37,SC,2017,500-1000
38,SC,2018,2000-5000
39,SC,2019,250-500
40,SC,2020,1000-2000
41,SC,2021,250-500
42,SC,2022,1000-2000
43,SC,2023,0-0
0,SD,1980,1000-2000
1,SD,1981,0-0
2,SD,1982,0-0
3,SD,1983,5-100
4,SD,1984,5-100
5,SD,1985,0-0
6,SD,1986,0-0
7,SD,1987,0-0
8,SD,1988,1000-2000
9,SD,1989,500-1000
10,SD,1990,0-0
11,SD,1991,0-0
12,SD,1992,0-0
13,SD,1993,1000-2000
14,SD,1994,5-100
15,SD,1995,0-0
16,SD,1996,0-0
17,SD,1997,250-500
18,SD,1998,5-100
19,SD,1999,0-0
20,SD,2000,0-0
21,SD,2001,0-0
22,SD,2002,1000-2000
23,SD,2003,500-1000
24,SD,2004,0-0
25,SD,2005,250-500
26,SD,2006,1000-2000
27,SD,2007,0-0
28,SD,2008,0-0
29,SD,2009,0-0
30,SD,2010,0-0
31,SD,2011,500-1000
32,SD,2012,1000-2000
33,SD,2013,500-1000
34,SD,2014,100-250
35,SD,2015,5-100
36,SD,2016,0-0
37,SD,2017,500-1000
38,SD,2018,0-0
39,SD,2019,2000-5000
40,SD,2020,100-250
41,SD,2021,1000-2000
42,SD,2022,2000-5000
43,SD,2023,0-0
0,TN,1980,1000-2000
1,TN,1981,0-0
2,TN,1982,100-250
3,TN,1983,250-500
4,TN,1984,0-0
5,TN,1985,5-100
6,TN,1986,500-1000
7,TN,1987,0-0
8,TN,1988,1000-2000
9,TN,1989,5-100
10,TN,1990,0-0
11,TN,1991,5-100
12,TN,1992,5-100
13,TN,1993,500-1000
14,TN,1994,100-250
15,TN,1995,100-250
16,TN,1996,100-250
17,TN,1997,100-250
18,TN,1998,500-1000
19,TN,1999,250-500
20,TN,2000,250-500
21,TN,2001,0-0
22,TN,2002,500-1000
23,TN,2003,2000-5000
24,TN,2004,100-250
25,TN,2005,100-250
26,TN,2006,1000-2000
27,TN,2007,250-500
28,TN,2008,1000-2000
29,TN,2009,500-1000
30,TN,2010,2000-5000
31,TN,2011,5000-10000
32,TN,2012,2000-5000
33,TN,2013,5-100
34,TN,2014,100-250
35,TN,2015,250-500
36,TN,2016,1000-2000
37,TN,2017,500-1000
38,TN,2018,100-250
39,TN,2019,250-500
40,TN,2020,2000-5000
41,TN,2021,1000-2000
42,TN,2022,500-1000
43,TN,2023,1000-2000
0,TX,1980,2000-5000
1,TX,1981,1000-2000
2,TX,1982,500-1000
3,TX,1983,5000-10000
4,TX,1984,0-0
5,TX,1985,100-250
6,TX,1986,0-0
7,TX,1987,0-0
8,TX,1988,1000-2000
9,TX,1989,2000-5000
10,TX,1990,1000-2000
11,TX,1991,0-0
12,TX,1992,2000-5000
13,TX,1993,250-500
14,TX,1994,2000-5000
15,TX,1995,5000-10000
16,TX,1996,2000-5000
17,TX,1997,5-100
18,TX,1998,2000-5000
19,TX,1999,250-500
20,TX,2000,2000-5000
21,TX,2001,10000-20000
22,TX,2002,1000-2000
23,TX,2003,2000-5000
24,TX,2004,0-0
25,TX,2005,10000-20000
26,TX,2006,2000-5000
27,TX,2007,500-1000
28,TX,2008,20000-50000
29,TX,2009,5000-10000
30,TX,2010,100-250
31,TX,2011,10000-20000
32,TX,2012,5000-10000
33,TX,2013,2000-5000
34,TX,2014,2000-5000
35,TX,2015,5000-10000
36,TX,2016,10000-20000
37,TX,2017,100000-200000
38,TX,2018,2000-5000
39,TX,2019,10000-20000
40,TX,2020,5000-10000
41,TX,2021,20000-50000
42,TX,2022,5000-10000
43,TX,2023,1000-2000
0,UT,1980,0-0
1,UT,1981,0-0
2,UT,1982,0-0
3,UT,1983,1000-2000
4,UT,1984,0-0
5,UT,1985,0-0
6,UT,1986,0-0
7,UT,1987,0-0
8,UT,1988,0-0
9,UT,1989,5-100
10,UT,1990,0-0
11,UT,1991,0-0
12,UT,1992,0-0
13,UT,1993,0-0
14,UT,1994,100-250
15,UT,1995,0-0
16,UT,1996,0-0
17,UT,1997,0-0
18,UT,1998,0-0
19,UT,1999,0-0
20,UT,2000,0-0
21,UT,2001,0-0
22,UT,2002,5-100
23,UT,2003,250-500
24,UT,2004,0-0
25,UT,2005,0-0
26,UT,2006,5-100
27,UT,2007,100-250
28,UT,2008,5-100
29,UT,2009,0-0
30,UT,2010,0-0
31,UT,2011,0-0
32,UT,2012,5-100
33,UT,2013,5-100
34,UT,2014,5-100
35,UT,2015,5-100
36,UT,2016,0-0
37,UT,2017,0-0
38,UT,2018,500-1000
39,UT,2019,0-0
40,UT,2020,100-250
41,UT,2021,100-250
42,UT,2022,5-100
43,UT,2023,0-0
0,VT,1980,0-0
1,VT,1981,0-0
2,VT,1982,5-100
3,VT,1983,0-0
4,VT,1984,0-0
5,VT,1985,5-100
6,VT,1986,0-0
7,VT,1987,0-0
8,VT,1988,0-0
9,VT,1989,5-100
10,VT,1990,0-0
11,VT,1991,0-0
12,VT,1992,0-0
13,VT,1993,100-250
14,VT,1994,5-100
15,VT,1995,0-0
16,VT,1996,0-0
17,VT,1997,5-100
18,VT,1998,500-1000
19,VT,1999,100-250
20,VT,2000,0-0
21,VT,2001,0-0
22,VT,2002,0-0
23,VT,2003,0-0
24,VT,2004,0-0
25,VT,2005,0-0
26,VT,2006,0-0
27,VT,2007,5-100
28,VT,2008,0-0
29,VT,2009,0-0
30,VT,2010,0-0
31,VT,2011,1000-2000
32,VT,2012,0-0
33,VT,2013,0-0
34,VT,2014,0-0
35,VT,2015,0-0
36,VT,2016,5-100
37,VT,2017,0-0
38,VT,2018,5-100
39,VT,2019,0-0
40,VT,2020,0-0
41,VT,2021,0-0
42,VT,2022,5-100
43,VT,2023,5-100
0,VA,1980,1000-2000
1,VA,1981,0-0
2,VA,1982,5-100
3,VA,1983,250-500
4,VA,1984,5-100
5,VA,1985,2000-5000
6,VA,1986,100-250
7,VA,1987,0-0
8,VA,1988,0-0
9,VA,1989,5-100
10,VA,1990,0-0
11,VA,1991,0-0
12,VA,1992,5-100
13,VA,1993,500-1000
14,VA,1994,100-250
15,VA,1995,5-100
16,VA,1996,500-1000
17,VA,1997,0-0
18,VA,1998,500-1000
19,VA,1999,500-1000
20,VA,2000,5-100
21,VA,2001,0-0
22,VA,2002,500-1000
23,VA,2003,2000-5000
24,VA,2004,250-500
25,VA,2005,5-100
26,VA,2006,100-250
27,VA,2007,250-500
28,VA,2008,250-500
29,VA,2009,5-100
30,VA,2010,100-250
31,VA,2011,2000-5000
32,VA,2012,1000-2000
33,VA,2013,0-0
34,VA,2014,100-250
35,VA,2015,250-500
36,VA,2016,1000-2000
37,VA,2017,100-250
38,VA,2018,1000-2000
39,VA,2019,100-250
40,VA,2020,500-1000
41,VA,2021,500-1000
42,VA,2022,500-1000
43,VA,2023,100-250
0,WA,1980,0-0
1,WA,1981,0-0
2,WA,1982,0-0
3,WA,1983,100-250
4,WA,1984,0-0
5,WA,1985,0-0
6,WA,1986,0-0
7,WA,1987,0-0
8,WA,1988,0-0
9,WA,1989,0-0
10,WA,1990,100-250
11,WA,1991,250-500
12,WA,1992,0-0
13,WA,1993,0-0
14,WA,1994,100-250
15,WA,1995,0-0
16,WA,1996,500-1000
17,WA,1997,250-500
18,WA,1998,0-0
19,WA,1999,0-0
20,WA,2000,250-500
21,WA,2001,0-0
22,WA,2002,0-0
23,WA,2003,250-500
24,WA,2004,0-0
25,WA,2005,100-250
26,WA,2006,5-100
27,WA,2007,5-100
28,WA,2008,250-500
29,WA,2009,500-1000
30,WA,2010,0-0
31,WA,2011,0-0
32,WA,2012,5-100
33,WA,2013,100-250
34,WA,2014,250-500
35,WA,2015,500-1000
36,WA,2016,5-100
37,WA,2017,250-500
38,WA,2018,100-250
39,WA,2019,0-0
40,WA,2020,250-500
41,WA,2021,1000-2000
42,WA,2022,500-1000
43,WA,2023,0-0
0,DC,1980,0-0
1,DC,1981,0-0
2,DC,1982,0-0
3,DC,1983,0-0
4,DC,1984,0-0
5,DC,1985,0-0
6,DC,1986,0-0
7,DC,1987,0-0
8,DC,1988,0-0
9,DC,1989,0-0
10,DC,1990,0-0
11,DC,1991,0-0
12,DC,1992,0-0
13,DC,1993,0-0
14,DC,1994,0-0
15,DC,1995,0-0
16,DC,1996,0-0
17,DC,1997,0-0
18,DC,1998,0-0
19,DC,1999,0-0
20,DC,2000,0-0
21,DC,2001,0-0
22,DC,2002,0-0
23,DC,2003,0-0
24,DC,2004,0-0
25,DC,2005,0-0
26,DC,2006,0-0
27,DC,2007,0-0
28,DC,2008,0-0
29,DC,2009,0-0
30,DC,2010,0-0
31,DC,2011,0-0
32,DC,2012,0-0
33,DC,2013,0-0
34,DC,2014,0-0
35,DC,2015,0-0
36,DC,2016,0-0
37,DC,2017,0-0
38,DC,2018,0-0
39,DC,2019,0-0
40,DC,2020,0-0
41,DC,2021,0-0
42,DC,2022,0-0
43,DC,2023,0-0
0,WV,1980,0-0
1,WV,1981,0-0
2,WV,1982,5-100
3,WV,1983,5-100
4,WV,1984,0-0
5,WV,1985,1000-2000
6,WV,1986,0-0
7,WV,1987,0-0
8,WV,1988,1000-2000
9,WV,1989,5-100
10,WV,1990,0-0
11,WV,1991,100-250
12,WV,1992,5-100
13,WV,1993,250-500
14,WV,1994,100-250
15,WV,1995,0-0
16,WV,1996,100-250
17,WV,1997,5-100
18,WV,1998,100-250
19,WV,1999,250-500
20,WV,2000,0-0
21,WV,2001,0-0
22,WV,2002,5-100
23,WV,2003,100-250
24,WV,2004,250-500
25,WV,2005,0-0
26,WV,2006,0-0
27,WV,2007,100-250
28,WV,2008,0-0
29,WV,2009,5-100
30,WV,2010,5-100
31,WV,2011,250-500
32,WV,2012,250-500
33,WV,2013,0-0
34,WV,2014,5-100
35,WV,2015,5-100
36,WV,2016,1000-2000
37,WV,2017,5-100
38,WV,2018,5-100
39,WV,2019,5-100
40,WV,2020,5-100
41,WV,2021,5-100
42,WV,2022,5-100
43,WV,2023,5-100
0,WI,1980,0-0
1,WI,1981,0-0
2,WI,1982,5-100
3,WI,1983,5-100
4,WI,1984,0-0
5,WI,1985,5-100
6,WI,1986,0-0
7,WI,1987,0-0
8,WI,1988,1000-2000
9,WI,1989,0-0
10,WI,1990,0-0
11,WI,1991,0-0
12,WI,1992,0-0
13,WI,1993,1000-2000
14,WI,1994,0-0
15,WI,1995,5-100
16,WI,1996,0-0
17,WI,1997,0-0
18,WI,1998,100-250
19,WI,1999,0-0
20,WI,2000,0-0
21,WI,2001,100-250
22,WI,2002,0-0
23,WI,2003,500-1000
24,WI,2004,100-250
25,WI,2005,100-250
26,WI,2006,1000-2000
27,WI,2007,250-500
28,WI,2008,2000-5000
29,WI,2009,0-0
30,WI,2010,500-1000
31,WI,2011,1000-2000
32,WI,2012,1000-2000
33,WI,2013,500-1000
34,WI,2014,5-100
35,WI,2015,5-100
36,WI,2016,0-0
37,WI,2017,500-1000
38,WI,2018,250-500
39,WI,2019,2000-5000
40,WI,2020,100-250
41,WI,2021,250-500
42,WI,2022,2000-5000
43,WI,2023,5-100
0,WY,1980,0-0
1,WY,1981,0-0
2,WY,1982,0-0
3,WY,1983,5-100
4,WY,1984,0-0
5,WY,1985,0-0
6,WY,1986,5-100
7,WY,1987,0-0
8,WY,1988,1000-2000
9,WY,1989,0-0
10,WY,1990,0-0
11,WY,1991,0-0
12,WY,1992,0-0
13,WY,1993,0-0
14,WY,1994,0-0
15,WY,1995,0-0
16,WY,1996,0-0
17,WY,1997,0-0
18,WY,1998,0-0
19,WY,1999,0-0
20,WY,2000,100-250
21,WY,2001,0-0
22,WY,2002,100-250
23,WY,2003,5-100
24,WY,2004,0-0
25,WY,2005,0-0
26,WY,2006,5-100
27,WY,2007,5-100
28,WY,2008,5-100
29,WY,2009,0-0
30,WY,2010,0-0
31,WY,2011,250-500
32,WY,2012,500-1000
33,WY,2013,100-250
34,WY,2014,5-100
35,WY,2015,5-100
36,WY,2016,100-250
37,WY,2017,250-500
38,WY,2018,500-1000
39,WY,2019,5-100
40,WY,2020,100-250
41,WY,2021,250-500
42,WY,2022,5-100
43,WY,2023,0-0
