,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,NewHampshire,NewJersey,NewMexico,NewYork,NorthCarolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,WestVirginia,Wisconsin,Wyoming
2001,30102,33411,27260,41327,37952,46993,38427,55908,31553,35136,27768,39083,31779,28837,30153,30021,29131,28815,38253,44975,37391,36587,25923,32421,25195,28377,33121,35481,44320,28702,46727,32024,25707,33283,28016,33204,34978,33603,29255,25601,31520,36045,30077,30238,36733,37459,27981,31540,28043
2002,31163,34036,28074,41419,38005,46852,39684,57914,32426,35734,28163,39688,32603,29668,30825,30904,30115,29736,39382,44954,38135,37458,26665,33118,26001,29448,33993,36176,45182,29431,46328,32689,26550,34214,28654,33684,35808,34810,30003,26360,32531,36248,30585,31041,37222,38242,28612,32464,28975
2003,32236,35056,28893,42592,38942,48328,40954,60417,33544,36626,28677,40540,33379,30708,31489,31855,30782,30750,40686,46323,39433,38610,27591,33788,26907,30382,35329,37321,46351,30202,47247,33532,27628,35153,29699,34450,36995,36415,30750,27210,33581,36968,31106,32086,38585,39021,29284,33425,29924
2004,33414,36646,30245,44641,40276,51007,42487,63887,35186,37866,29871,42277,34694,32097,32738,33165,31880,31906,42579,48916,40373,40398,28535,34845,27830,31507,37106,39176,48064,31411,49941,34791,28987,36441,30743,35630,38555,37651,31839,28281,34925,38511,32171,33274,40534,39361,30382,34743,31210
2005,34598,38154,31266,46211,41601,52954,44622,66696,36800,39096,30777,43744,35431,33070,33864,33965,33566,32701,44368,50095,41214,40800,29763,35951,29150,32422,38763,40551,49471,32605,51937,35912,29956,37333,31721,36588,39661,38751,32927,29149,35879,40150,33328,34197,42287,40721,31347,35471,33251
2006,36204,40019,32389,48345,43506,54814,46285,70151,38485,40370,32580,45650,36553,34320,35696,35201,36604,33794,46162,52435,42157,42185,31194,37143,30596,33814,40070,42447,51645,34567,55479,37439,31316,38568,34022,38077,41349,40454,34281,30291,37564,42458,35130,35542,44051,42897,32728,36821,36662
2007,37492,41551,34118,50538,45396,58029,47308,73450,39746,42178,33544,47685,37528,35738,37044,36480,38229,35129,48241,55244,43357,44375,32291,38603,32224,35238,42149,43863,53853,36379,59439,38909,33086,39917,35491,39569,43239,41646,35393,31655,39082,44695,37054,36956,45995,45021,34106,38050,39254
2008,38734,42518,34919,51487,46614,58395,47569,76518,40568,42585,33897,48719,38403,36964,38178,37434,40381,36317,49535,56746,44245,45826,33508,40361,33305,36243,42984,44912,55280,37910,60288,39740,35075,40784,37284,40500,44381,43029,36252,32822,39996,45939,37980,38328,47241,46569,35987,39119,41487
2009,39422,42832,35692,51566,46861,57771,47770,77483,40970,42902,34124,48358,38270,37158,38154,37996,40579,36617,50579,56267,43645,45319,33847,40022,33762,36644,42743,44932,55168,38529,57739,39844,35970,40900,37238,40757,44829,43439,36759,33352,40242,45692,38614,38778,48239,47470,36897,39131,40709
2010,40289,43299,36254,53285,47868,59465,48669,80200,41581,43899,34900,49497,39256,38146,38936,38720,41461,37338,51739,57770,44439,46787,34343,40679,34595,37324,42512,45957,56382,39264,60291,41119,38128,41788,38237,41675,45733,44645,37553,34331,41572,46952,39389,39434,49651,48516,37675,39966,41963
2011,41186,44581,37280,55013,49082,61145,50499,81529,42313,45090,35626,50840,40248,39204,39989,39646,42375,38020,53008,59671,45828,47858,34976,41461,35791,38269,43102,47281,57546,40032,61792,42121,41778,42972,40108,43090,47035,45705,38427,35413,42454,48735,40279,40293,50657,50256,39092,41003,43394
2012,41990,45593,38226,56784,50563,62085,51734,82783,43211,46267,36152,52194,41240,40343,41118,40451,43300,38606,54035,60898,46720,49349,35875,42695,37096,39268,43667,48272,58644,40698,62669,43110,45909,44244,41633,44258,48397,46716,39286,36534,43961,50579,41301,40967,51646,51962,39727,41966,44580
2013,42276,45921,38941,57111,50873,62357,52040,83054,43649,46760,36836,52590,41660,41107,41548,40793,44008,39279,54052,61790,47131,50116,36455,43066,37575,39965,44119,48963,59467,40809,63089,43795,47779,44671,42457,45019,49077,47732,39792,37225,44091,51201,41792,42043,51918,53050,40201,42777,44972
2014,43287,46919,39975,59042,52724,63919,53212,85877,44803,48138,37982,54106,42553,42538,42716,41941,45336,40442,55389,64103,48487,51602,37111,44258,38878,41185,44727,51165,60597,41925,65880,44973,50855,46000,43773,46529,50567,49297,40797,38690,45202,53218,42942,43025,52929,55016,41201,43829,46492
2015,44273,47933,40895,61698,54182,65530,53991,88159,46260,49551,38857,55989,43903,44095,43878,43365,45928,41791,57176,66692,50063,53527,37642,45565,40056,42854,45739,52553,62365,42555,67521,46530,50696,47146,44306,48328,52187,50651,42002,40181,46742,54281,44318,44234,54276,56661,41727,45365,46306
2016,44832,48523,41571,62964,54664,65870,53765,89481,47035,50676,39637,56447,44590,44910,44142,44099,45622,42596,58106,67432,50943,54297,38144,46122,40716,43597,47114,53563,62777,42599,67940,47269,48873,47700,43906,49474,52460,51453,42881,41178,47403,54333,45255,45030,54836,59024,41665,46008,44974
2017,45997,50146,42959,65857,56914,66636,55828,92544,48455,52189,41345,57971,46192,46074,45116,45166,46500,43911,59603,69929,52487,56140,38788,47364,42045,44851,48126,55138,64042,43535,70682,48920,50313,49153,45121,51118,54000,52840,44177,42432,48820,55795,46575,46186,56503,62041,43419,47238,46270
2018,47414,51865,43950,68478,58941,67742,56814,95909,50094,53496,42882,59941,47590,47511,46607,46302,48116,45370,61151,72606,53803,58007,39762,49053,43407,46262,50041,56782,65727,45167,72900,50756,52356,50573,46727,53053,55628,53736,44729,43694,50450,57747,48513,47640,58239,66119,46120,48872,48059
2019,48839,53807,45448,71351,61820,69771,58479,98051,51741,55263,44264,61572,48793,48672,48060,47723,49286,47188,62976,75404,54972,59630,40687,50536,44883,47854,51422,58671,67364,47043,75365,52379,54102,52125,48023,55023,57497,54918,46383,45150,51702,59794,50766,49337,60200,69593,46618,50413,49880
2020,52210,58426,48672,79480,66649,75317,62462,107075,55868,58884,47685,66279,51957,52333,51490,50794,51964,51952,68879,83738,59432,64191,43222,54046,48443,51488,55996,64888,73974,50369,83122,56214,55465,55872,49566,59938,62049,60508,49554,49167,55137,62872,54890,54084,65159,76791,48741,53809,50986
2021,54358,61750,51519,85741,70563,77840,64484,112148,60276,62242,50744,70127,54968,54293,53422,52862,53838,54651,71688,87752,61683,67009,44958,56456,51319,53853,59463,72063,76340,52522,88035,59594,56851,58350,51317,63989,64697,62280,52295,51254,59147,65970,57837,56296,67990,82477,50498,56350,53022